,Teks,Normalisasi_Teks,KBBI_Teks,Normal_Teks,Stopword_Removed_Teks,Clean,clean_teks
0,bye scarlet kmu terlalu mahal. aku mau timses nya originote saja. pye pye https://t.co/uibEm8TH3q,bye scarlet kmu terlalu mahal aku mau timses nya originote saja pye pye,bye scarlet kmu <norm> <norm> <norm> <norm> timses nya originote <norm> pye pye,bye scarlet kamu terlalu mahal aku mau tim sukses nya originote saja pye pye,bye scarlet mahal tim sukses nya originote pye pye,bye scarlet kmu terlalu mahal aku mau timses nya originote saja pye pye,bye scarlet mahal tim sukses nya originote pye pye
1,@ohmybeautybank gaaaa! ini perih bgt asli udh coba pakenya dikit2 dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase 4 kali https://t.co/JFtZQbvtQB,ohmybeautybank gaa ini perih bgt asli udh coba pakenya dikit dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase kali,ohmybeautybank gaa <norm> <norm> bgt <norm> udh <norm> pakenya <norm> <norm> <norm> aplikatornya <norm> tetep <norm> gakuat <norm> <norm> <norm> <norm> temen <norm> nyobain the originote <norm> <norm> <norm> <norm> <norm> <norm> <norm> <norm> udh repurchase <norm>,ohmybeautybank gaa ini perih banget asli udah coba pakenya dikit dan ujung aplikatornya doang tetep perih gakuat parah saya kasih ke teman akhirnya nyobain the originote baru mempan dia lebih enak karena water base udah repurchase kali,ohmybeautybank gaa perih banget asli udah coba pakenya dikit ujung aplikatornya doang tetep perih gakuat parah kasih teman nyobain the originote mempan enak water base udah repurchase kali,ohmybeautybank gaa ini perih bgt asli udh coba pakenya dikit dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase kali,ohmybeautybank gaa perih banget asli udah coba pakenya dikit ujung aplikatornya doang tetep perih gakuat parah kasih teman nyobain the originote mempan enak water base udah repurchase kali
2,wts micellar water the originote 30k aja baru dipake 5-10% #wts #zonauang https://t.co/zOfep2dNaE,wts micellar water the originote k aja baru dipake wts zonauang,<norm> micellar <norm> the originote <norm> <norm> <norm> dipake <norm> zonauang,wts micellar water the originote ke saja baru dipake wts zonauang,wts micellar water the originote dipake wts zonauang,wts micellar water the originote k aja baru dipake wts zonauang,wts micellar water the originote dipake wts zonauang
3,guys mending micella water facetology atau the originote ya? tolong minta reviewnya dong mau co bingung banget antara dua ini huhu https://t.co/4npytWreVT,guys mending micella water facetology atau the originote ya tolong minta reviewnya dong mau co bingung banget antara dua ini huhu,guys <norm> micella <norm> facetology <norm> the originote <norm> <norm> <norm> reviewnya <norm> <norm> co <norm> <norm> <norm> <norm> <norm> huhu,teman-teman lebih baik micella water facetology atau the originote iya tolong minta reviewnya dong mau co bingung banget antara dua ini huhu,teman-teman micella water facetology the originote iya tolong reviewnya co bingung banget huhu,guys mending micella water facetology atau the originote ya tolong minta reviewnya dong mau co bingung banget antara dua ini huhu,temanteman micella water facetology the originote iya tolong reviewnya co bingung banget huhu
4,beli serum the originote lama bgt nyampenya,beli serum the originote lama bgt nyampenya,<norm> <norm> the originote <norm> bgt nyampenya,beli serum the originote lama banget nyampenya,beli serum the originote banget nyampenya,beli serum the originote lama bgt nyampenya,beli serum the originote banget nyampenya
5,@ohmybeautybank mau honest review gue blm prnah pake ini tp pernah pake yg originote. beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk,ohmybeautybank mau honest review gue blm prnah pake ini tp pernah pake yg originote beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk,ohmybeautybank <norm> honest review <norm> blm prnah <norm> <norm> <norm> <norm> <norm> <norm> originote beneran <norm> boong <norm> <norm> sebulanan bulmat <norm> lgsg pnjang lg <norm> sebelumnya <norm> <norm> <norm> <norm> bulmat miniso <norm> <norm> notice bulmat <norm> <norm> katanya <norm> <norm> jg <norm> spill serumnya wkwkwk,ohmybeautybank mau honest review saya belum prnah pakai ini tapi pernah pakai yang originote beneran ga boong saya pakai sebulanan bulu mata saya langsung pnjang lagi setelah sebelumnya patah habis gara-gara penjepit bulu mata miniso sampai mua notice bulu mata saya bagus katanya panjang doi juga minta spill serumnya wkwkwk,ohmybeautybank honest review prnah pakai pakai originote beneran ga boong pakai sebulanan bulu mata langsung pnjang patah habis gara-gara penjepit bulu mata miniso mua notice bulu mata bagus doi spill serumnya wkwkwk,ohmybeautybank mau honest review gue blm prnah pake ini tp pernah pake yg originote beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk,ohmybeautybank honest review prnah pakai pakai originote beneran ga boong pakai bulan bulu mata langsung pnjang patah habis garagara jepit bulu mata miniso mua notice bulu mata bagus doi spill serum wkwkwk
6,user the originote ada yang bisa ditanya-tanya ga yaaa ,user the originote ada yang bisa ditanyatanya ga yaa,user the originote <norm> <norm> <norm> ditanyatanya <norm> yaa,user the originote ada yang bisa ditanyatanya ga yaa,user the originote ditanyatanya ga yaa,user the originote ada yang bisa ditanyatanya ga yaa,user the originote ditanyatanya ga yaa
7,cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,cosrx <norm> bgt <norm> bjir <norm> <norm> gabisa <norm> <norm> originote,cosrx bagus banget iya bjir lah takut gabisa balik ke originote,cosrx bagus banget iya bjir takut gabisa originote,cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,cosrx bagus banget iya bjir takut gabisa originote
8,The originote micellar water ukuran gede loh 300 ml cuma 35rb an combo kode GLOW24DM https://t.co/7CHIgAmsYn https://t.co/dqYv8jqEg0,the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,the originote micellar <norm> <norm> <norm> <norm> <norm> <norm> rb an combo <norm> glowdm,the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,the originote micellar water ukuran gede loh ml rb an combo kode glowdm,the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,the originote micellar water ukur gede loh ml rb an combo kode glowdm
9,MW ORIGINOTE ENAK BGT DI MUKAAA,mw originote enak bgt di mukaa,mw originote <norm> bgt <norm> mukaa,now watching originote enak banget di mukaa,now watching originote enak banget mukaa,mw originote enak bgt di mukaa,now watching originote enak banget mukaa
