,text,polarity Score,label
1,"scarlet mahal tim sukses originote
",5,Positive
2,"ga perih banget asli udah coba pakai ujung alat perih kuat banget kasih teman coba originote mempan enak water base udah beli kali
",-3,Negative
3,"micellar water originote
",0,Neutral
4,"teman micella water facetology originote iya tolong riview checkout bingung banget
",2,Positive
5,"beli serum originote lambat banget dateng
",-1,Negative
6,"honest review pakai pakai originote beneran ga bohong pakai bulan bulu mata langsung patah habis gara-gara jepit bulu mata miniso mua notice bulu mata bagus tunjuk serum wkwkwk
",-8,Negative
7,"user originote ditanyatanya ga yaa
",0,Neutral
8,"cosrx bagus banget iya bjir takut originote
",-3,Negative
9,"originote micellar water ukur combo kode glowdm
",0,Neutral
10,"now watching originote enak banget muka
",5,Positive
11,"habis exfo pakai clay masker originote jerawat langsung muncul fak
",-2,Negative
12,"micellar water originote enak banget woy
",5,Positive
13,"lanzuut pakai cream blush blush dalem pilih warna peach pink gin muka seger pakai tipis bangun ngomong-ngomong cushion originote timpa cream product atas geser angkat gitu
",1,Positive
14,"photoism originate korea harga negara orang won klu convert dalem harga negara klu converted into malaysian ringgit gila beza cekik darah user bawa masuk malaysia igt supplykan demand cehh
",-8,Negative
15,"coba wear cushion originote valid emang bagus sore kusam nambah cakep cream blush lokal tahan sehariaan poll mop
",1,Positive
16,"tahap pakai compexion pakai cushion originote coveragenya mantap banget pih sesuai banget pakai ini tap cover wajah blendnya pelan gampang ko ga ngeblok sabar ngeblendnya cepat
",9,Positive
17,"now watching segi remover eyeliner angkat maskara waterproof sisa sisa turut normal iya better bersihin maskara pakai oil base originote sea makeup
",-11,Negative
18,"preloved originote cushion harga shade terang warm alas jual salah shade taptap muka link oren shopee video cari profil
",0,Neutral
19,"preloved originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa
",0,Neutral
20,"originote moga drama
",-3,Negative
21,"sunscreen originote bagus banget ngurangin bruntusan
",1,Positive
22,"sunscreen spraynya originote perih banget mata anj hari mata air perih kelas siksa banget
",-16,Negative
23,"lumayan sekale banget stock habis jam kayak originote df
",-1,Negative
24,"cushion originote
",0,Neutral
25,"selasa maret paket shopee reseller alhamdulillah
",7,Positive
26,"shocked banget cushion originote bagus banget impression
",2,Positive
27,"gais beli originote toko beautybestieyou imitasi gaiss produk review tenyata hide
",7,Positive
28,"ken pindah mois originote brightening gi bokek abiss
",-10,Negative
29,"jual cushion originote shade medium neutral banget beli coba gelap ga tolong banget theoriginote cushion jualcushion
",3,Positive
30,"originote skintific cuuyy
",0,Neutral
31,"serum avoskin pakai kali iya sesuai pict kondisi edisi serum npure edisi serum originote retinol edisi
",0,Neutral
32,"kak now watching originote masii ga
",0,Neutral
33,"sopi originote
",0,Neutral
34,"babi originote hemat promo abang ga butuh lumayan banget
",-7,Negative
35,"toner originote cica segel yak
",0,Neutral
36,"lip oilnya originote bagus banget
",1,Positive
37,"tertawa bha originote enak banget woy makan lmlm manis banget
",10,Positive
38,"ngebersihin pakai up mantap bil duaduanya oke yaa ngehapus pakai up effortless sea pakai up cepat ngebersihinnya originote daya bersih oke maskara bener-bener waterproof now watching gentong
",14,Positive
39,"sunscreennya originote bau ga enak anjing
",0,Neutral
40,"owner originote dosen cantik anjing
",-4,Negative
41,"sedih banget ga sesuai originote
",-5,Negative
42,"suudaon originote gang muka pulu pulu
",-4,Negative
43,"originote moisturizernya sesuai hueng oles merah
",-4,Negative
44,"kak
",0,Neutral
45,"cepat originote
",-3,Negative
46,"preloved skincare originote hyalucera moisturizer serum vitamin c isi hllow clarifying toner isi take all jual udah ga pakai beli official storenya checkout preloved originote
",-7,Negative
47,"kali coba micellar water langsung suka banget maskara waterproof langsung angkat sema pakai cleansing balm angkat pakai micellar water originote
",18,Positive
48,"cushion originote mmf suudzon bagus banget bjirr
",-3,Negative
49,"yuu moment of truth yups banget shade terang neutral kulit gelap abu abu satu kawin banget kulit best banget cushion originote
",-3,Negative
50,"ganti pelembab rumah coba originote iya dah emina kayak madame gie bagus ujung nya iya originote
",-8,Negative
51,"coba originote coba selagi promo
",5,Positive
52,"coba paket originote lt facial wash nemu oke pakai cleveru dbilang sesuai sesuai ga ubah lt
",2,Positive
53,"moist originote best banget muka beruntus pakai purging sii akhirnyaa mantepp beruntus jadi mendemm walauu seberapaa pakai nyaa jangka lambat lov banget dehh pakai teruss
",1,Positive
54,"akhirnye beli moistnya originote
",1,Positive
55,"habis melulu clay mask stik gglow beli originote moga ampun ngebasmi komedo
",-4,Negative
56,"alhamdulillah koin receh syopi kumpul bas ribu modal main game tanem hadiah bismillah beli skincare udah ga kebel oktober originote emang murce pakai koin syopi sabar ngumpulinnya
",9,Positive
57,"originote flash sale harga under klaim voucher toko gabung diskon live urut harga rendah cek promonya halaman toko
",0,Neutral
58,"now watching originote kak
",0,Neutral
59,"produk sea makeup originote susah balikpapan heh
",0,Neutral
60,"pake originote
",0,Neutral
61,"cek originote ultah
",-4,Negative
62,"banget lazrewardnya tips rewardnya wkwkwk
",1,Positive
63,"pakai lip oil originote
",1,Positive
64,"maaf originote sunscreenmu perih mata air banget
",-9,Negative
