,clean_n_case_folding,slang_word
0,bye scarlet kmu terlalu mahal aku mau timses nya originote saja pye pye,bye scarlet kamu terlalu mahal aku mau tim sukses nya originote saja pye pye
1,gaa ini perih bgt asli udh coba pakenya dikit dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase kali,ga ini perih banget asli udah coba memakai nya sedikit dan ujung alat nya cuma tetap perih tidak kuat banget saya kasih ke teman akhirnya mulai mencoba the originote baru mempan dia lebih enak karena water base udah pembelian kembali kali
2,wts micellar water the originote k aja baru dipake wts zonauang,wts micellar water the originote ke saja baru di gunakan wts zonauang
3,guys mending micella water facetology atau the originote ya tolong minta reviewnya dong mau co bingung banget antara dua ini huhu,teman-teman lebih baik micella water facetology atau the originote iya tolong minta riview nya dong mau checkout bingung banget antara dua ini huhu
4,beli serum the originote lama bgt nyampenya,membeli serum the originote lambat banget dateng nya
5,mau honest review gue blm prnah pake ini tp pernah pake yg originote beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk,mau honest review saya belum pernah pakai ini tapi pernah pakai yang originote beneran ga bohong saya pakai sebulanan bulu mata saya langsung panjang lagi setelah sebelumnya patah habis gara-gara penjepit bulu mata miniso sampai mua notice bulu mata saya bagus katanya panjang dia juga minta tunjukan serumnya wkwkwk
6,user the originote ada yang bisa ditanyatanya ga yaa,user the originote ada yang bisa ditanyatanya ga yaa
7,cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,cosrx bagus banget iya bjir lah takut tidak bisa balik ke originote
8,the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,the originote micellar water ukuran besar loh ml cuma rb an combo kode glowdm
9,mw originote enak bgt di mukaa,now watching originote enak banget di mukaa
10,gue abis exfo td pake clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,saya habis exfo tadi pakai clay masker nya the originote tiba-tiba jerawat langsung muncul fak wkwkkwwk
11,micellar water originote enak parah woy mana gede,micellar water originote enak banget woy mana besar
12,lanzuut aku pake cream blush buat blush dalem pilih yang warnanya peach pink gini biar muka lebih seger pakenya tipis aja dulu kalo kurang baru build lagi btw cushion the originote ditimpa cream product di atasnya pun dia gak geser samsek gak yang jadi keangkat gituu,lanzuut aku pakai cream blush buat blush dalem pilih yang warnanya peach pink gini biar muka lebih seger memakai nya tipis saja dulu kalau kurang baru membangun lagi ngomong-ngomong cushion the originote ditimpa cream product di atasnya pun dia tidak geser sama sekali tidak yang jadi keangkat gitu
13,photoism ni originate dari korea harga negara asal diorang pun baru k won klu convert dlm rm ni harga negara lain klu converted into malaysian ringgit bapak la jauh gila beza nak cekik darah user ke apa bawak masuk malaysia igt nk supplykan demand tapi cehh,photoism ini originate dari korea harga negara asal diorang pun baru ke won klu convert dalem rm ini harga negara lain klu converted into malaysian ringgit bapak lah jauh gila beza mau cekik darah user ke apa bawa masuk malaysia igt nk supplykan demand tapi cehh
14,test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep trs the only cream blush lokal yg bnr tahan sehariaan poll itu sejauh ini cuma mop punya,mencoba wear cushion originote valid emang bagus makin sore bukannya kusam bahkan nambah cakep terus the hanya cream blush lokal yang benar tahan sehariaan poll itu sejauh ini cuma mop punya
15,step pake compexion ak pake cushion the originote ini coveragenya mantep banget kebetulan aku lagi ada beberapa pih makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah blendnya pelan aja dia gampang ko ga ngeblok sabar aja ngeblendnya jgn buru,tahap pakai compexion saya pakai cushion the originote ini coveragenya mantap banget kebetulan aku lagi ada beberapa pih makanya sesuai banget pakai inii soalnya satu tap sudah cover seluruh wajah blendnya pelan saja dia gampang ko ga ngeblok sabar saja ngeblendnya jangan cepat
16,untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja the originote sea makeup,untuk kedua now watching ini dari segi remover kalau eyeliner bisa keangkat tapi kalau untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal iya better kalau mau bersihin maskara pakai oil base saja the originote sea makeup
17,wts preloved the originote cushion harga k shade light warm alasan jual karena salah shade baru dipake dua taptap buat semuka link oren ada shopee video cari aja di profilku zonajajan zonaba zonabu zonauang,wts preloved the originote cushion harga ke shade terang warm alasan jual karena salah shade baru di gunakan dua taptap buat semuka link oren ada shopee video cari saja di profilku zonajajan zonaba zonabu zonauang
18,preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa tengah,preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa tengah
19,originote semoga elu kaga drama,originote semoga kamu tidak drama
20,sunscreen originote bagus bgt ngurangin bruntusan,sunscreen originote bagus banget ngurangin bruntusan
21,sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener nyiksa bgtt,sunscreen spraynya originote perih banget di mata anj seharian mata w berair karena perih apalagi ketika tadi lagi kelas benar menyiksa banget
22,mayan sekale pas bgt stock abis hehe tadi fs jam keknya masih fs the originote df,lumayan sekale ketika banget stock habis he tadi fs jam kayaknya masih fs the originote df
23,ngiler cushion originote wkwk,mau cushion originote wkwk
24,selasa maret paket shopee reseller alhamdulillah,selasa maret paket shopee reseller alhamdulillah
25,shocked bgt cushion the originote bagus bgt untuk first impression,shocked banget cushion the originote bagus banget untuk pertama impression
26,gais kalian kalau yg mau beli originote di jangan di toko beautybestieyou itu kw gaiss di produknya emg review semua tapi tenyata yang tuh di hide,gais kalian kalau yang mau membeli originote di jangan di toko beautybestieyou itu imitasi gaiss di produknya emg review semua tapi tenyata yang tuh di hide
27,pengen pindah mois ke originote brightening gi bokek abiss,pengen pindah mois ke originote brightening gi bokek abiss
28,jual cushion the originote shade medium neutral baru banget beli baru nyoba tapi kegelapan ga ketolong banget rb aja theoriginote cushion jualcushion,jual cushion the originote shade medium neutral baru banget membeli baru mencoba tapi kegelapan ga ketolong banget rb saja theoriginote cushion jualcushion
29,the originote atau skintific cuuyy,the originote atau skintific cuuyy
30,serum avoskin baru di pake kali ya sesuai pict kondisinya ed di k serum npure ed k serum originote retinol ed k,serum avoskin baru di pakai kali iya sesuai pict kondisinya edisi di ke serum npure edisi ke serum originote retinol edisi ke
31,kak mw originote masii ada ga,kak now watching originote masii ada ga
32,bisa sopi the originote k ajaa,bisa sopi the originote ke ajaa
33,babi juga ni originote gw mau hemat tp dia bikin promo bg tapi sbnrnya gw lagi ga butuh gt tapi kyk lumayan bgt,babi juga ini originote saya mau hemat tapi dia bikin promo abang tapi sebenarnya saya lagi ga membutuhkan begitu tapi seperti lumayan banget
34,toner originote cica masih segel yak,toner originote cica masih segel yak
35,lip oilnya originote bagus banget,lip oilnya originote bagus banget
36,aha bha originote enak bgt woy pen w makan lmlm ky manis bgt,tertawa bha originote enak banget woy pen w makan lmlm seperti manis banget
37,buat ngebersihin make up mantul yang mana bil duaduanya oke yaa buat ngehapus make up effortless juga sea make up lebih cepet ngebersihinnya sedangkan the originote daya bersihnya lebih oke tapi untuk maskara yang benerbener waterproof dua mw gentong ini harus dipake,buat ngebersihin memakai up mantap betul yang mana bil duaduanya oke yaa buat ngehapus memakai up effortless juga sea memakai up lebih cepat ngebersihinnya sedangkan the originote daya bersihnya lebih oke tapi untuk maskara yang bener-bener waterproof dua now watching gentong ini harus di gunakan
38,sunscreennya the originote baunya gaenak anjir,sunscreennya the originote baunya ga enak anjing
39,baru tau owner the originote dosen kecantikkan anjir,baru tahu owner the originote dosen kecantikkan anjing
40,sedih bgt ga cocok sama fw the originote,sedih banget ga sesuai sama fw the originote
41,aku suudaon sama originote gang bikin muka w tambah kek pulu pulu,aku suudaon sama originote gang bikin muka w tambah seperti pulu pulu
42,the originote moisturizernya gak cocok hueng baru juga sekali oles dikit dah merah,the originote moisturizernya tidak sesuai hueng baru juga sekali oles sedikit deh merah
43,kak belum,kak belum
44,cepett originote rb dapet,cepat originote rb dapat
45,wts preloved skincare the originote hyalucera moisturizer k serum vitamin c isi sekitar k hllow clarifying toner isi sekitar k take all k dijual karna udh ga kepake beli di official storenya co preloved the originote,wts preloved skincare the originote hyalucera moisturizer ke serum vitamin c isi sekitar ke hllow clarifying toner isi sekitar ke take all ke dijual karena udah ga terpakai membeli di official storenya checkout preloved the originote
46,pertama kali nyobain micellar water ini langsung suka banget maskara yang waterproof langsung ke angkat sema biasanya harus pake cleansing balm dulu baru keangkat ini cukup pake micellar water nya the originote aja,pertama kali mulai mencoba micellar water ini langsung suka banget maskara yang waterproof langsung ke angkat sema biasanya harus pakai cleansing balm dulu baru keangkat ini cukup pakai micellar water nya the originote saja
47,cushion originote mmf ak sempet suudzon ternyata km bagus bgt bjirr,cushion originote mmf saya sempat suudzon ternyata kamu bagus banget bjirr
48,yuu the moment of truth yups pas banget kan shade light neutral di kulit aku gak kegelapan gak abu abu aa nyatu dan kawin banget sama kulitku best banget cushion originote,yuu the moment of truth yups ketika banget kan shade terang neutral di kulit aku tidak kegelapan tidak abu abu aa menyatu dan kawin banget sama kulitku best banget cushion originote
49,mau ganti pelembab dari rumah apa coba originote ya dahlah balik emina aja tapi kayaknya madame gie juga bagus ujung²nya sampe tempat ya originote,mau ganti pelembab dari rumah apa coba originote iya dahlah balik emina saja tapi kayaknya madame gie juga bagus ujung²nya sampai tempat iya originote
50,yang belum nyobain the originote cobain deh sekarang mumpung lagi promo,yang belum mulai mencoba the originote mencoba deh sekarang selagi lagi promo
51,apa gua harus coba sepaket originote lt facial wash blm nemu yg oke skrg ini pake cleveru dbilang cocok sih cocok tapi ga bikin ada perubahan lt,apa saya harus coba sepaket originote lt facial wash belum nemu yang oke sekarang ini pakai cleveru dbilang sesuai sih sesuai tapi ga bikin ada perubahan lt
52,moist the originote best bgt buat muka beruntusan awal make purging sii tapi akhirnyaa mantepp beruntusan jadii mendemm walauu belum seberapaa karna pakai nyaa belum dalam jangka waktu yang lama tetep lov bgt dehh bakal pake ini teruss,moist the originote best banget buat muka beruntusan awal memakai purging sii tapi akhirnyaa mantepp beruntusan jadii mendemm walauu belum seberapaa karena memakai nyaa belum dalam jangka waktu yang lambat tetap lov banget dehh bakal pakai ini teruss
53,akhirnye aku beli moistnya originote lagi stlh satu thn lamanya,akhirnye aku membeli moistnya originote lagi setelah satu tahun lamanya
54,kehabisan mulu clay mask stik gglow yaudah jadinya beli yg the originote moga ampun dah ngebasmi komedo,kehabisan melulu clay mask stik gglow ya sudah jadinya membeli yang the originote moga ampun deh ngebasmi komedo
55,alhamdulillah dapet koin recehan dari syopi udah kekumpul belasan ribu modal main game dan tanem berhadiah bismillah beli skincare yang udh ga kebeli dari bulan oktober tahun lalu the originote emang paling murce dan bisa pake koin syopi kalo sabar ngumpulinnya,alhamdulillah dapat koin recehan dari syopi sudah kekumpul belasan ribu modal main game dan tanem berhadiah bismillah membeli skincare yang udah ga kebeli dari bulan oktober tahun lalu the originote emang paling murce dan bisa pakai koin syopi kalau sabar ngumpulinnya
56,the originote flash sale jadi harga under k klaim juga voucher toko bisa digabung diskon live urutkan dari harga terendah atau cek promonya di halaman fs toko,the originote flash sale jadi harga under ke klaim juga voucher toko bisa digabung diskon live urutkan dari harga terendah atau cek promonya di halaman fs toko
57,mw originote masih kak,now watching originote masih kak
58,belum dapat ba untuk produk sea makeup sama originote susahnya balikpapan ni heh,belum dapat ba untuk produk sea makeup sama originote susahnya balikpapan ini heh
59,bisa sopi the originote k ajaa,bisa sopi the originote ke ajaa
60,km pke originote yg apa,kamu pake originote yang apa
61,cek originote lg ultah dia,cek originote lagi ultah dia
62,gede banget lazrewardnya aku cuma ada yg punya tips biar bisa naik rewardnya wkwkwk,besar banget lazrewardnya aku cuma ada yang punya tips biar bisa naik rewardnya wkwkwk
63,bisa sopi the originote k ajaa,bisa sopi the originote ke ajaa
64,aku pakai lip oil dari originote,aku memakai lip oil dari originote
65,bisa sopi the originote k ajaa,bisa sopi the originote ke ajaa
66,bisa sopi the originote k ajaa,bisa sopi the originote ke ajaa
67,maaf originote tapi sunscreenmu bikin perih di mata yang sampe berair banget,maaf originote tapi sunscreenmu bikin perih di mata yang sampai berair banget
68,bisa sopi the originote k ajaa,bisa sopi the originote ke ajaa
