,stop_word,stemming
0,scarlet mahal tim sukses originote,scarlet mahal tim sukses originote
1,ga perih banget asli udah coba memakai ujung alat perih kuat banget kasih teman mencoba originote mempan enak water base udah pembelian kali,ga perih banget asli udah coba pakai ujung alat perih kuat banget kasih teman coba originote mempan enak water base udah beli kali
2,micellar water originote,micellar water originote
3,teman-teman micella water facetology originote iya tolong riview checkout bingung banget,teman micella water facetology originote iya tolong riview checkout bingung banget
4,membeli serum originote lambat banget dateng,beli serum originote lambat banget dateng
5,honest review pakai pakai originote beneran ga bohong pakai sebulanan bulu mata langsung patah habis gara-gara penjepit bulu mata miniso mua notice bulu mata bagus tunjukan serumnya wkwkwk,honest review pakai pakai originote beneran ga bohong pakai bulan bulu mata langsung patah habis gara-gara jepit bulu mata miniso mua notice bulu mata bagus tunjuk serum wkwkwk
6,user originote ditanyatanya ga yaa,user originote ditanyatanya ga yaa
7,cosrx bagus banget iya bjir takut originote,cosrx bagus banget iya bjir takut originote
8,originote micellar water ukuran combo kode glowdm,originote micellar water ukur combo kode glowdm
9,now watching originote enak banget mukaa,now watching originote enak banget mukaa
10,habis exfo pakai clay masker originote jerawat langsung muncul fak,habis exfo pakai clay masker originote jerawat langsung muncul fak
11,micellar water originote enak banget woy,micellar water originote enak banget woy
12,lanzuut pakai cream blush blush dalem pilih warnanya peach pink gini muka seger memakai tipis membangun ngomong-ngomong cushion originote ditimpa cream product atasnya geser keangkat gitu,lanzuut pakai cream blush blush dalem pilih warna peach pink gin muka seger pakai tipis bangun ngomong-ngomong cushion originote timpa cream product atas geser angkat gitu
13,photoism originate korea harga negara diorang won klu convert dalem harga negara klu converted into malaysian ringgit gila beza cekik darah user bawa masuk malaysia igt supplykan demand cehh,photoism originate korea harga negara orang won klu convert dalem harga negara klu converted into malaysian ringgit gila beza cekik darah user bawa masuk malaysia igt supplykan demand cehh
14,mencoba wear cushion originote valid emang bagus sore kusam nambah cakep cream blush lokal tahan sehariaan poll mop,coba wear cushion originote valid emang bagus sore kusam nambah cakep cream blush lokal tahan sehariaan poll mop
15,tahap pakai compexion pakai cushion originote coveragenya mantap banget pih sesuai banget pakai inii tap cover wajah blendnya pelan gampang ko ga ngeblok sabar ngeblendnya cepat,tahap pakai compexion pakai cushion originote coveragenya mantap banget pih sesuai banget pakai ini tap cover wajah blendnya pelan gampang ko ga ngeblok sabar ngeblendnya cepat
16,now watching segi remover eyeliner keangkat maskara waterproof sisa sisa menurutku normal iya better bersihin maskara pakai oil base originote sea makeup,now watching segi remover eyeliner angkat maskara waterproof sisa sisa turut normal iya better bersihin maskara pakai oil base originote sea makeup
