,slang_word,stop_word
0,bye scarlet kamu terlalu mahal aku mau tim sukses nya originote saja pye pye,scarlet mahal tim sukses originote
1,ga ini perih banget asli udah coba memakai nya sedikit dan ujung alat nya cuma tetap perih tidak kuat banget saya kasih ke teman akhirnya mulai mencoba the originote baru mempan dia lebih enak karena water base udah pembelian kembali kali,ga perih banget asli udah coba memakai ujung alat perih kuat banget kasih teman mencoba originote mempan enak water base udah pembelian kali
2,wts micellar water the originote ke saja baru di gunakan wts zonauang,micellar water originote
3,teman-teman lebih baik micella water facetology atau the originote iya tolong minta riview nya dong mau checkout bingung banget antara dua ini huhu,teman-teman micella water facetology originote iya tolong riview checkout bingung banget
4,membeli serum the originote lambat banget dateng nya,membeli serum originote lambat banget dateng
5,mau honest review saya belum pernah pakai ini tapi pernah pakai yang originote beneran ga bohong saya pakai sebulanan bulu mata saya langsung panjang lagi setelah sebelumnya patah habis gara-gara penjepit bulu mata miniso sampai mua notice bulu mata saya bagus katanya panjang dia juga minta tunjukan serumnya wkwkwk,honest review pakai pakai originote beneran ga bohong pakai sebulanan bulu mata langsung patah habis gara-gara penjepit bulu mata miniso mua notice bulu mata bagus tunjukan serumnya wkwkwk
6,user the originote ada yang bisa ditanyatanya ga yaa,user originote ditanyatanya ga yaa
7,cosrx bagus banget iya bjir lah takut tidak bisa balik ke originote,cosrx bagus banget iya bjir takut originote
8,the originote micellar water ukuran besar loh ml cuma rb an combo kode glowdm,originote micellar water ukuran combo kode glowdm
9,now watching originote enak banget di mukaa,now watching originote enak banget mukaa
10,saya habis exfo tadi pakai clay masker nya the originote tiba-tiba jerawat langsung muncul fak wkwkkwwk,habis exfo pakai clay masker originote jerawat langsung muncul fak
11,micellar water originote enak banget woy mana besar,micellar water originote enak banget woy
12,lanzuut aku pakai cream blush buat blush dalem pilih yang warnanya peach pink gini biar muka lebih seger memakai nya tipis saja dulu kalau kurang baru membangun lagi ngomong-ngomong cushion the originote ditimpa cream product di atasnya pun dia tidak geser sama sekali tidak yang jadi keangkat gitu,lanzuut pakai cream blush blush dalem pilih warnanya peach pink gini muka seger memakai tipis membangun ngomong-ngomong cushion originote ditimpa cream product atasnya geser keangkat gitu
13,photoism ini originate dari korea harga negara asal diorang pun baru ke won klu convert dalem rm ini harga negara lain klu converted into malaysian ringgit bapak lah jauh gila beza mau cekik darah user ke apa bawa masuk malaysia igt nk supplykan demand tapi cehh,photoism originate korea harga negara diorang won klu convert dalem harga negara klu converted into malaysian ringgit gila beza cekik darah user bawa masuk malaysia igt supplykan demand cehh
14,mencoba wear cushion originote valid emang bagus makin sore bukannya kusam bahkan nambah cakep terus the hanya cream blush lokal yang benar tahan sehariaan poll itu sejauh ini cuma mop punya,mencoba wear cushion originote valid emang bagus sore kusam nambah cakep cream blush lokal tahan sehariaan poll mop
