,Teks,stop_word
0,bye scarlet kmu terlalu mahal. aku mau timses nya originote saja. pye pye https://t.co/uibEm8TH3q,scarlet kmu mahal. timses originote saja. https://t.co/uibEm8TH3q
1,@ohmybeautybank gaaaa! ini perih bgt asli udh coba pakenya dikit2 dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase 4 kali https://t.co/JFtZQbvtQB,@ohmybeautybank gaaaa! perih bgt asli udh coba pakenya dikit2 ujung aplikatornya doang tetep perih gakuat parah gue kasih temen nyobain originote mempan enak water base udh repurchase 4 kali https://t.co/JFtZQbvtQB
2,wts micellar water the originote 30k aja baru dipake 5-10% #wts #zonauang https://t.co/zOfep2dNaE,micellar water originote 30k dipake 5-10% #wts #zonauang https://t.co/zOfep2dNaE
3,guys mending micella water facetology atau the originote ya? tolong minta reviewnya dong mau co bingung banget antara dua ini huhu https://t.co/4npytWreVT,mending micella water facetology originote ya? tolong reviewnya co bingung banget https://t.co/4npytWreVT
4,beli serum the originote lama bgt nyampenya,beli serum originote bgt nyampenya
5,@ohmybeautybank mau honest review gue blm prnah pake ini tp pernah pake yg originote. beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk,@ohmybeautybank honest review gue blm prnah pake tp pake originote. beneran boong gue pake sebulanan bulmat gue lgsg pnjang lg patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus doi jg spill serumnya
6,user the originote ada yang bisa ditanya-tanya ga yaaa ,user originote ditanya-tanya yaaa
7,cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,cosrx bagus bgt bjir takut gabisa originote
8,The originote micellar water ukuran gede loh 300 ml cuma 35rb an combo kode GLOW24DM https://t.co/7CHIgAmsYn https://t.co/dqYv8jqEg0,The originote micellar water ukuran gede 300 35rb combo kode GLOW24DM https://t.co/7CHIgAmsYn https://t.co/dqYv8jqEg0
9,MW ORIGINOTE ENAK BGT DI MUKAAA,MW ORIGINOTE ENAK BGT DI MUKAAA
10,gue abis exfo td pake clay masknya the originote TBTB JERAWAT LANGSUNG MUNCUL FAK WKWKKWWK,gue abis exfo td pake clay masknya originote TBTB JERAWAT LANGSUNG MUNCUL FAK WKWKKWWK
11,micellar water originote enak parah woy mana gede ,micellar water originote enak parah woy gede
12,Lanzuut aku pake cream blush buat blush dalem. Pilih yang warnanya peach pink gini biar muka lebih seger. Pakenya tipis aja dulu kalo kurang baru build lagi~ Btw cushion The Originote ditimpa cream product di atasnya pun dia gak geser samsek gak yang jadi keangkat gituu! https://t.co/e0WKu3aRcx,Lanzuut pake cream blush blush dalem. Pilih warnanya peach pink gini muka seger. Pakenya tipis build lagi~ Btw cushion The Originote ditimpa cream product atasnya gak geser samsek gak keangkat gituu! https://t.co/e0WKu3aRcx
13,Photoism ni originate dari Korea. Harga negara asal diorang pun baru 7k won. Klu convert dlm RM24.80. ni harga negara lain klu converted into Malaysian Ringgit. Bapak la jauh gila beza nak cekik darah user ke apa ? Bawak masuk Malaysia igt nk supplykan demand tapi cehhhh https://t.co/onz1G9orSn,Photoism ni originate Korea. Harga negara diorang 7k won. Klu convert dlm RM24.80. ni harga negara klu converted into Malaysian Ringgit. Bapak la gila beza nak cekik darah user ? Bawak masuk Malaysia igt supplykan demand cehhhh https://t.co/onz1G9orSn
14,test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep? trs the only cream blush lokal yg bnr2 tahan sehariaaaaaaan pollllllll itu sejauh ini cuma mop punya https://t.co/o98CypwrLA,test wear cushion originote valid emang bagus sore kusam nambah cakep? trs only cream blush lokal bnr2 tahan sehariaaaaaaan pollllllll mop https://t.co/o98CypwrLA
