full_text,Text Case Folding,Text Tokenizing,Text Normalization,Text Stemming,Text Filtering
bye scarlet kmu terlalu mahal. aku mau timses nya originote saja. pye pye https://t.co/uibEm8TH3q,bye scarlet kmu terlalu mahal aku mau timses nya originote saja pye pye,"['bye', 'scarlet', 'kmu', 'terlalu', 'mahal', 'aku', 'mau', 'timses', 'nya', 'originote', 'saja', 'pye', 'pye']","['bye', 'scarlet', 'kmu', 'terlalu', 'mahal', 'aku', 'mau', 'timses', 'nya', 'originote', 'saja', 'pye', 'pye']","['bye', 'scarlet', 'kmu', 'terlalu', 'mahal', 'aku', 'mau', 'timses', 'nya', 'originote', 'saja', 'pye', 'pye']","['bye', 'scarlet', 'kmu', 'mahal', 'timses', 'originote', 'pye', 'pye']"
@ohmybeautybank gaaaa! ini perih bgt asli udh coba pakenya dikit2 dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase 4 kali https://t.co/JFtZQbvtQB,gaaaa ini perih bgt asli udh coba pakenya dikit dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase kali,"['gaaaa', 'ini', 'perih', 'bgt', 'asli', 'udh', 'coba', 'pakenya', 'dikit', 'dan', 'ujung', 'aplikatornya', 'doang', 'tetep', 'perih', 'gakuat', 'parah', 'gue', 'kasih', 'ke', 'temen', 'akhirnya', 'nyobain', 'the', 'originote', 'baru', 'mempan', 'dia', 'lebih', 'enak', 'karena', 'water', 'base', 'udh', 'repurchase', 'kali']","['gaaaa', 'ini', 'perih', 'bgt', 'asli', 'udh', 'coba', 'pakenya', 'dikit', 'dan', 'ujung', 'aplikatornya', 'doang', 'tetep', 'perih', 'gakuat', 'parah', 'gue', 'kasih', 'ke', 'temen', 'akhirnya', 'nyobain', 'the', 'originote', 'baru', 'mempan', 'dia', 'lebih', 'enak', 'karena', 'water', 'base', 'udh', 'repurchase', 'kali']","['gaaaa', 'ini', 'perih', 'bgt', 'asli', 'udh', 'coba', 'pakenya', 'dikit', 'dan', 'ujung', 'aplikatornya', 'doang', 'tetep', 'perih', 'gakuat', 'parah', 'gue', 'kasih', 'ke', 'temen', 'akhir', 'nyobain', 'the', 'originote', 'baru', 'mempan', 'dia', 'lebih', 'enak', 'karena', 'water', 'base', 'udh', 'repurchase', 'kali']","['gaaaa', 'perih', 'bgt', 'asli', 'udh', 'coba', 'pakenya', 'dikit', 'ujung', 'aplikatornya', 'doang', 'tetep', 'perih', 'gakuat', 'parah', 'gue', 'kasih', 'temen', 'nyobain', 'the', 'originote', 'mempan', 'enak', 'water', 'base', 'udh', 'repurchase', 'kali']"
wts micellar water the originote 30k aja baru dipake 5-10% #wts #zonauang https://t.co/zOfep2dNaE,wts micellar water the originote  aja baru dipake,"['wts', 'micellar', 'water', 'the', 'originote', 'aja', 'baru', 'dipake']","['wts', 'micellar', 'water', 'the', 'originote', 'aja', 'baru', 'dipake']","['wts', 'micellar', 'water', 'the', 'originote', 'aja', 'baru', 'dipake']","['wts', 'micellar', 'water', 'the', 'originote', 'dipake']"
guys mending micella water facetology atau the originote ya? tolong minta reviewnya dong mau co bingung banget antara dua ini huhu https://t.co/4npytWreVT,guys mending micella water facetology atau the originote ya tolong minta reviewnya dong mau co bingung banget antara dua ini huhu,"['guys', 'mending', 'micella', 'water', 'facetology', 'atau', 'the', 'originote', 'ya', 'tolong', 'minta', 'reviewnya', 'dong', 'mau', 'co', 'bingung', 'banget', 'antara', 'dua', 'ini', 'huhu']","['guys', 'mending', 'micella', 'water', 'facetology', 'atau', 'the', 'originote', 'ya', 'tolong', 'minta', 'reviewnya', 'dong', 'mau', 'co', 'bingung', 'banget', 'antara', 'dua', 'ini', 'huhu']","['guys', 'mending', 'micella', 'water', 'facetology', 'atau', 'the', 'originote', 'ya', 'tolong', 'minta', 'reviewnya', 'dong', 'mau', 'co', 'bingung', 'banget', 'antara', 'dua', 'ini', 'huhu']","['guys', 'mending', 'micella', 'water', 'facetology', 'the', 'originote', 'tolong', 'reviewnya', 'co', 'bingung', 'banget', 'huhu']"
beli serum the originote lama bgt nyampenya,beli serum the originote lama bgt nyampenya,"['beli', 'serum', 'the', 'originote', 'lama', 'bgt', 'nyampenya']","['beli', 'serum', 'the', 'originote', 'lama', 'bgt', 'nyampenya']","['beli', 'serum', 'the', 'originote', 'lama', 'bgt', 'nyampenya']","['beli', 'serum', 'the', 'originote', 'bgt', 'nyampenya']"
@ohmybeautybank mau honest review gue blm prnah pake ini tp pernah pake yg originote. beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk,mau honest review gue blm prnah pake ini tp pernah pake yg originote beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk,"['mau', 'honest', 'review', 'gue', 'blm', 'prnah', 'pake', 'ini', 'tp', 'pernah', 'pake', 'yg', 'originote', 'beneran', 'ga', 'boong', 'gue', 'pake', 'sebulanan', 'bulmat', 'gue', 'lgsg', 'pnjang', 'lg', 'setelah', 'sebelumnya', 'patah', 'habis', 'gegara', 'penjepit', 'bulmat', 'miniso', 'smp', 'mua', 'notice', 'bulmat', 'gue', 'bagus', 'katanya', 'panjang', 'doi', 'jg', 'minta', 'spill', 'serumnya', 'wkwkwk']","['mau', 'honest', 'review', 'gue', 'blm', 'prnah', 'pake', 'ini', 'tp', 'pernah', 'pake', 'yg', 'originote', 'beneran', 'ga', 'boong', 'gue', 'pake', 'sebulanan', 'bulmat', 'gue', 'lgsg', 'pnjang', 'lg', 'setelah', 'sebelumnya', 'patah', 'habis', 'gegara', 'penjepit', 'bulmat', 'miniso', 'smp', 'mua', 'notice', 'bulmat', 'gue', 'bagus', 'katanya', 'panjang', 'doi', 'jg', 'minta', 'spill', 'serumnya', 'wkwkwk']","['mau', 'honest', 'review', 'gue', 'blm', 'prnah', 'pake', 'ini', 'tp', 'pernah', 'pake', 'yg', 'originote', 'beneran', 'ga', 'boong', 'gue', 'pake', 'bulan', 'bulmat', 'gue', 'lgsg', 'pnjang', 'lg', 'telah', 'belum', 'patah', 'habis', 'gegara', 'jepit', 'bulmat', 'miniso', 'smp', 'mua', 'notice', 'bulmat', 'gue', 'bagus', 'kata', 'panjang', 'doi', 'jg', 'minta', 'spill', 'serum', 'wkwkwk']","['honest', 'review', 'gue', 'blm', 'prnah', 'pake', 'tp', 'pake', 'originote', 'beneran', 'boong', 'gue', 'pake', 'bulmat', 'gue', 'lgsg', 'pnjang', 'lg', 'patah', 'habis', 'gegara', 'jepit', 'bulmat', 'miniso', 'smp', 'mua', 'notice', 'bulmat', 'gue', 'bagus', 'doi', 'jg', 'spill', 'serum', 'wkwkwk']"
user the originote ada yang bisa ditanya-tanya ga yaaa ,user the originote ada yang bisa ditanyatanya ga yaaa,"['user', 'the', 'originote', 'ada', 'yang', 'bisa', 'ditanyatanya', 'ga', 'yaaa']","['user', 'the', 'originote', 'ada', 'yang', 'bisa', 'ditanyatanya', 'ga', 'yaaa']","['user', 'the', 'originote', 'ada', 'yang', 'bisa', 'ditanyatanya', 'ga', 'yaaa']","['user', 'the', 'originote', 'ditanyatanya', 'yaaa']"
cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,"['cosrx', 'bagus', 'bgt', 'ya', 'bjir', 'lah', 'takut', 'gabisa', 'balik', 'ke', 'originote']","['cosrx', 'bagus', 'bgt', 'ya', 'bjir', 'lah', 'takut', 'gabisa', 'balik', 'ke', 'originote']","['cosrx', 'bagus', 'bgt', 'ya', 'bjir', 'lah', 'takut', 'gabisa', 'balik', 'ke', 'originote']","['cosrx', 'bagus', 'bgt', 'bjir', 'takut', 'gabisa', 'originote']"
The originote micellar water ukuran gede loh 300 ml cuma 35rb an combo kode GLOW24DM https://t.co/7CHIgAmsYn https://t.co/dqYv8jqEg0,the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,"['the', 'originote', 'micellar', 'water', 'ukuran', 'gede', 'loh', 'ml', 'cuma', 'rb', 'an', 'combo', 'kode', 'glowdm']","['the', 'originote', 'micellar', 'water', 'ukuran', 'gede', 'loh', 'ml', 'cuma', 'rb', 'an', 'combo', 'kode', 'glowdm']","['the', 'originote', 'micellar', 'water', 'ukur', 'gede', 'loh', 'ml', 'cuma', 'rb', 'an', 'combo', 'kode', 'glowdm']","['the', 'originote', 'micellar', 'water', 'ukur', 'gede', 'ml', 'rb', 'an', 'combo', 'kode', 'glowdm']"
MW ORIGINOTE ENAK BGT DI MUKAAA,mw originote enak bgt di mukaaa,"['mw', 'originote', 'enak', 'bgt', 'di', 'mukaaa']","['mw', 'originote', 'enak', 'bgt', 'di', 'mukaaa']","['mw', 'originote', 'enak', 'bgt', 'di', 'mukaaa']","['mw', 'originote', 'enak', 'bgt', 'mukaaa']"
