full_text,Text Case Folding,Text Tokenizing,Text Fill,Text Normalization,Text Stemming,Text Filtering
bye scarlet kmu terlalu mahal. aku mau timses nya originote saja. pye pye https://t.co/uibEm8TH3q,bye scarlet kmu terlalu mahal aku mau timses nya originote saja pye pye,"['bye', 'scarlet', 'kamu', 'terlalu', 'mahal', 'aku', 'mau', 'tim', 'sukses', 'nya', 'originote', 'saja', 'yaelah', 'yaelah']",bye scarlet kamu terlalu mahal aku mau tim sukses nya originote saja yaelah yaelah,"['bye', 'scarlet', 'kamu', 'terlalu', 'mahal', 'aku', 'mau', 'tim', 'sukses', 'nya', 'originote', 'saja', 'yaelah', 'yaelah']","['bye', 'scarlet', 'kamu', 'terlalu', 'mahal', 'aku', 'mau', 'tim', 'sukses', 'nya', 'originote', 'saja', 'yaelah', 'yaelah']","['scarlet', 'mahal', 'tim', 'sukses', 'originote', 'yaelah', 'yaelah']"
@ohmybeautybank gaaaa! ini perih bgt asli udh coba pakenya dikit2 dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase 4 kali https://t.co/JFtZQbvtQB,gaaaa ini perih bgt asli udh coba pakenya dikit dan ujung aplikatornya doang tetep perih gakuat parah gue kasih ke temen akhirnya nyobain the originote baru mempan dia lebih enak karena water base udh repurchase kali,"['gak', 'mau', 'ini', 'perih', 'banget', 'asli', 'udah', 'coba', 'pakenya', 'dikit', 'dan', 'ujung', 'aplikatornya', 'doang', 'tetep', 'perih', 'gakuat', 'parah', 'saya', 'kasih', 'ke', 'teman', 'akhirnya', 'nyobain', 'the', 'originote', 'baru', 'mempan', 'dia', 'lebih', 'enak', 'karena', 'water', 'base', 'udah', 'repurchase', 'kali']",gak mau ini perih banget asli udah coba pakenya dikit dan ujung aplikatornya doang tetep perih gakuat parah saya kasih ke teman akhirnya nyobain the originote baru mempan dia lebih enak karena water base udah repurchase kali,"['enggak', 'mau', 'ini', 'perih', 'banget', 'asli', 'sudah', 'coba', 'pakenya', 'dikit', 'dan', 'ujung', 'aplikatornya', 'doang', 'tetap', 'perih', 'enggak kuat', 'parah', 'saya', 'kasih', 'ke', 'teman', 'akhirnya', 'mencoba', 'the', 'originote', 'baru', 'mempan', 'dia', 'lebih', 'enak', 'karena', 'water', 'base', 'sudah', 'repurchase', 'kali']","['enggak', 'mau', 'ini', 'perih', 'banget', 'asli', 'sudah', 'coba', 'pakenya', 'dikit', 'dan', 'ujung', 'aplikatornya', 'doang', 'tetap', 'perih', 'enggak kuat', 'parah', 'saya', 'kasih', 'ke', 'teman', 'akhir', 'coba', 'the', 'originote', 'baru', 'mempan', 'dia', 'lebih', 'enak', 'karena', 'water', 'base', 'sudah', 'repurchase', 'kali']","['perih', 'banget', 'asli', 'coba', 'pakenya', 'dikit', 'ujung', 'aplikatornya', 'doang', 'perih', 'enggak kuat', 'parah', 'kasih', 'teman', 'coba', 'originote', 'mempan', 'enak', 'water', 'base', 'repurchase', 'kali']"
wts micellar water the originote 30k aja baru dipake 5-10% #wts #zonauang https://t.co/zOfep2dNaE,wts micellar water the originote aja baru dipake,"['wts', 'micellar', 'water', 'the', 'originote', 'saja', 'baru', 'dipake']",wts micellar water the originote saja baru dipake,"['wts', 'micellar', 'water', 'the', 'originote', 'saja', 'baru', 'dipakai']","['wts', 'micellar', 'water', 'the', 'originote', 'saja', 'baru', 'pakai']","['micellar', 'water', 'originote', 'pakai']"
guys mending micella water facetology atau the originote ya? tolong minta reviewnya dong mau co bingung banget antara dua ini huhu https://t.co/4npytWreVT,guys mending micella water facetology atau the originote ya tolong minta reviewnya dong mau co bingung banget antara dua ini huhu,"['teman-teman', 'lebih', 'baik', 'micella', 'water', 'facetology', 'atau', 'the', 'originote', 'iya', 'tolong', 'minta', 'reviewnya', 'dong', 'mau', 'co', 'bingung', 'banget', 'antara', 'dua', 'ini', 'huhu']",teman-teman lebih baik micella water facetology atau the originote iya tolong minta reviewnya dong mau co bingung banget antara dua ini huhu,"['teman-teman', 'lebih', 'baik', 'micella', 'water', 'facetology', 'atau', 'the', 'originote', 'iya', 'tolong', 'meminta', 'reviewnya', 'dong', 'mau', 'cowok', 'bingung', 'banget', 'antara', 'dua', 'ini', 'huhu']","['teman', 'lebih', 'baik', 'micella', 'water', 'facetology', 'atau', 'the', 'originote', 'iya', 'tolong', 'minta', 'reviewnya', 'dong', 'mau', 'cowok', 'bingung', 'banget', 'antara', 'dua', 'ini', 'huhu']","['teman', 'micella', 'water', 'facetology', 'originote', 'iya', 'tolong', 'reviewnya', 'cowok', 'bingung', 'banget', 'huhu']"
beli serum the originote lama bgt nyampenya,beli serum the originote lama bgt nyampenya,"['beli', 'serum', 'the', 'originote', 'lama', 'banget', 'nyampenya']",beli serum the originote lama banget nyampenya,"['beli', 'serum', 'the', 'originote', 'lama', 'banget', 'sampainya']","['beli', 'serum', 'the', 'originote', 'lama', 'banget', 'sampai']","['beli', 'serum', 'originote', 'banget']"
@ohmybeautybank mau honest review gue blm prnah pake ini tp pernah pake yg originote. beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk,mau honest review gue blm prnah pake ini tp pernah pake yg originote beneran ga boong gue pake sebulanan bulmat gue lgsg pnjang lg setelah sebelumnya patah habis gegara penjepit bulmat miniso smp mua notice bulmat gue bagus katanya panjang doi jg minta spill serumnya wkwkwk,"['mau', 'honest', 'review', 'saya', 'belum', 'pernah', 'pakai', 'ini', 'tapi', 'pernah', 'pakai', 'yang', 'originote', 'beneran', 'ga', 'boong', 'saya', 'pakai', 'sebulanan', 'bulu', 'mata', 'saya', 'langsung', 'panjang', 'lagi', 'setelah', 'sebelumnya', 'patah', 'habis', 'gara-gara', 'penjepit', 'bulu', 'mata', 'miniso', 'sampai', 'mua', 'notice', 'bulu', 'mata', 'saya', 'bagus', 'katanya', 'panjang', 'doi', 'juga', 'minta', 'spill', 'serumnya', 'wkwkwk']",mau honest review saya belum pernah pakai ini tapi pernah pakai yang originote beneran ga boong saya pakai sebulanan bulu mata saya langsung panjang lagi setelah sebelumnya patah habis gara-gara penjepit bulu mata miniso sampai mua notice bulu mata saya bagus katanya panjang doi juga minta spill serumnya wkwkwk,"['mau', 'honest', 'review', 'saya', 'belum', 'pernah', 'pakai', 'ini', 'tapi', 'pernah', 'pakai', 'yang', 'originote', 'benaran', 'enggak', 'bohong', 'saya', 'pakai', 'sebulanan', 'bulu', 'mata', 'saya', 'langsung', 'panjang', 'lagi', 'setelah', 'sebelumnya', 'patah', 'habis', 'gara-gara', 'penjepit', 'bulu', 'mata', 'miniso', 'sampai', 'mua', 'notice', 'bulu', 'mata', 'saya', 'bagus', 'katanya', 'panjang', 'doi', 'juga', 'meminta', 'spill', 'serumnya', 'wkwkwk']","['mau', 'honest', 'review', 'saya', 'belum', 'pernah', 'pakai', 'ini', 'tapi', 'pernah', 'pakai', 'yang', 'originote', 'benar', 'enggak', 'bohong', 'saya', 'pakai', 'bulan', 'bulu', 'mata', 'saya', 'langsung', 'panjang', 'lagi', 'telah', 'belum', 'patah', 'habis', 'gara-gara', 'jepit', 'bulu', 'mata', 'miniso', 'sampai', 'mua', 'notice', 'bulu', 'mata', 'saya', 'bagus', 'kata', 'panjang', 'doi', 'juga', 'minta', 'spill', 'serum', 'wkwkwk']","['honest', 'review', 'pakai', 'pakai', 'originote', 'bohong', 'pakai', 'bulu', 'mata', 'langsung', 'patah', 'habis', 'gara-gara', 'jepit', 'bulu', 'mata', 'miniso', 'mua', 'notice', 'bulu', 'mata', 'bagus', 'doi', 'spill', 'serum']"
user the originote ada yang bisa ditanya-tanya ga yaaa ,user the originote ada yang bisa ditanyatanya ga yaaa,"['user', 'the', 'originote', 'ada', 'yang', 'bisa', 'ditanyatanya', 'ga', 'yaaa']",user the originote ada yang bisa ditanyatanya ga yaaa,"['user', 'the', 'originote', 'ada', 'yang', 'bisa', 'ditanyatanya', 'enggak', 'ya']","['user', 'the', 'originote', 'ada', 'yang', 'bisa', 'ditanyatanya', 'enggak', 'ya']","['user', 'originote', 'ditanyatanya']"
cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,cosrx bagus bgt ya bjir lah takut gabisa balik ke originote,"['cosrx', 'bagus', 'banget', 'iya', 'bjir', 'lah', 'takut', 'gabisa', 'balik', 'ke', 'originote']",cosrx bagus banget iya bjir lah takut gabisa balik ke originote,"['cosrx', 'bagus', 'banget', 'iya', 'bjir', 'lah', 'takut', 'enggak bisa', 'balik', 'ke', 'originote']","['cosrx', 'bagus', 'banget', 'iya', 'bjir', 'lah', 'takut', 'enggak bisa', 'balik', 'ke', 'originote']","['cosrx', 'bagus', 'banget', 'iya', 'bjir', 'takut', 'enggak bisa', 'originote']"
The originote micellar water ukuran gede loh 300 ml cuma 35rb an combo kode GLOW24DM https://t.co/7CHIgAmsYn https://t.co/dqYv8jqEg0,the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,"['the', 'originote', 'micellar', 'water', 'ukuran', 'gede', 'loh', 'ml', 'cuma', 'rb', 'an', 'combo', 'kode', 'glowdm']",the originote micellar water ukuran gede loh ml cuma rb an combo kode glowdm,"['the', 'originote', 'micellar', 'water', 'ukuran', 'gede', 'loh', 'ml', 'cuma', 'ribu', 'an', 'combo', 'kode', 'glowdm']","['the', 'originote', 'micellar', 'water', 'ukur', 'gede', 'loh', 'ml', 'cuma', 'ribu', 'an', 'combo', 'kode', 'glowdm']","['originote', 'micellar', 'water', 'ukur', 'gede', 'ml', 'ribu', 'an', 'combo', 'kode', 'glowdm']"
MW ORIGINOTE ENAK BGT DI MUKAAA,mw originote enak bgt di mukaaa,"['now', 'watching', 'originote', 'enak', 'banget', 'di', 'mukaaa']",now watching originote enak banget di mukaaa,"['now', 'watching', 'originote', 'enak', 'banget', 'di', 'mukaaa']","['now', 'watching', 'originote', 'enak', 'banget', 'di', 'mukaaa']","['now', 'watching', 'originote', 'enak', 'banget', 'mukaaa']"
